ORPHAcode_target;DiseaseName_target;n_exact_donors;ORPHAcode_donors;DiseaseName_donors;HPO_ID;HPO_Label;donor_count;Supporting_ORPHAcode_donors;candidate_type;is_selected;is_fully_supported
247198;Progressive cerebello-cerebral atrophy;1;2524;Pontocerebellar hypoplasia type 2;HP:0200049;Upper limb hypertonia;1;2524;single_donor;False;False
247198;Progressive cerebello-cerebral atrophy;1;2524;Pontocerebellar hypoplasia type 2;HP:0200136;Oral-pharyngeal dysphagia;1;2524;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000044;Hypogonadotropic hypogonadism;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000093;Proteinuria;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000097;Focal segmental glomerulosclerosis;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000112;Nephropathy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000114;Proximal tubulopathy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000407;Sensorineural hearing impairment;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000572;Visual loss;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000580;Pigmentary retinopathy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000590;Progressive external ophthalmoplegia;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000648;Optic atrophy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000709;Psychosis;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000716;Depression;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000726;Dementia;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000736;Short attention span;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000739;Anxiety;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000751;Personality changes;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000819;Diabetes mellitus;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000821;Hypothyroidism;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000829;Hypoparathyroidism;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0000998;Hypertrichosis;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001045;Vitiligo;1;550;single_donor;False;False
